,agent0,agent1,agent0_win,agent1_win,draw,agent0_reward,agent1_reward,num_matches
0,compute_action_function,compute_action_function,0,1,0,-3.0,3.0,1
1,compute_action_function,RANDOM,1,0,0,19.0,-19.0,1
2,compute_action_function,WEAK,1,0,0,11.0,-11.0,1
3,compute_action_function,MEDIUM,1,0,0,11.0,-11.0,1
4,compute_action_function,STRONG,1,0,0,9.0,-9.0,1
5,compute_action_function,RULE_BASED,1,0,0,3.0,-3.0,1
6,compute_action_function,ALPHA_PONG,1,0,0,13.0,-13.0,1
0,RANDOM,RANDOM,0,1,0,-9.0,9.0,1
1,RANDOM,WEAK,0,1,0,-7.0,7.0,1
2,RANDOM,MEDIUM,0,1,0,-15.0,15.0,1
3,RANDOM,STRONG,0,1,0,-15.0,15.0,1
4,RANDOM,RULE_BASED,0,1,0,-19.0,19.0,1
5,RANDOM,ALPHA_PONG,0,1,0,-19.0,19.0,1
0,WEAK,WEAK,1,0,0,1.0,-1.0,1
1,WEAK,MEDIUM,0,1,0,-1.0,1.0,1
2,WEAK,STRONG,1,0,0,1.0,-1.0,1
3,WEAK,RULE_BASED,1,0,0,3.0,-3.0,1
4,WEAK,ALPHA_PONG,0,1,0,-3.0,3.0,1
0,MEDIUM,MEDIUM,0,1,0,-1.0,1.0,1
1,MEDIUM,STRONG,1,0,0,1.0,-1.0,1
2,MEDIUM,RULE_BASED,1,0,0,13.0,-13.0,1
3,MEDIUM,ALPHA_PONG,0,1,0,-1.0,1.0,1
0,STRONG,STRONG,1,0,0,5.0,-5.0,1
1,STRONG,RULE_BASED,1,0,0,3.0,-3.0,1
2,STRONG,ALPHA_PONG,0,1,0,-5.0,5.0,1
0,RULE_BASED,RULE_BASED,1,0,0,11.0,-11.0,1
1,RULE_BASED,ALPHA_PONG,0,1,0,-15.0,15.0,1
0,ALPHA_PONG,ALPHA_PONG,0,1,0,-5.0,5.0,1
